iter	RMSE
0	20190.26992
1	17948.7501
2	16001.84357
3	14334.51002
4	12915.85417
5	11696.53181
6	10660.14953
7	9792.490713
8	9049.823369
9	8445.80225
10	7945.355975
11	7525.959272
12	7149.376792
13	6869.915578
14	6647.101658
15	6453.382668
16	6302.402823
17	6150.24981
18	6057.010688
19	5972.799812
20	5904.621097
21	5816.175578
22	5763.03407
23	5716.579089
24	5654.098151
25	5625.074943
26	5597.086211
27	5577.015514
28	5559.916703
29	5541.248521
30	5500.538385
31	5445.556613
32	5410.189113
33	5389.629132
34	5375.021737
35	5338.081808
36	5317.616584
37	5301.568347
38	5273.644153
39	5263.473935
40	5212.858691
41	5197.622824
42	5188.016897
43	5177.490456
44	5156.713175
45	5148.217256
46	5133.106757
47	5124.892796
48	5103.067554
49	5087.247038
50	5076.905464
51	5071.473469
52	5058.585086
53	5046.48011
54	5037.217664
55	5031.97298
56	5028.319777
57	5020.499018
58	5010.349448
59	5006.722349
60	4999.297257
61	4985.2097
62	4980.517449
63	4975.878621
64	4970.501094
65	4958.935406
66	4953.207029
67	4948.149808
68	4939.293645
69	4931.429958
70	4926.940065
71	4921.685788
72	4915.654698
73	4901.415951
74	4892.222758
75	4876.458098
76	4871.954051
77	4868.385785
78	4866.282628
79	4863.715945
80	4857.248781
81	4851.96358
82	4846.97475
83	4838.550615
84	4835.537075
85	4831.224869
86	4826.200609
87	4824.312853
88	4820.975052
89	4796.664147
90	4793.935199
91	4781.303891
92	4768.690552
93	4762.458621
94	4751.85336
95	4747.296863
96	4745.490744
97	4739.46962
98	4728.533052
99	4723.006343
100	4718.905715
101	4714.170496
102	4711.840877
103	4707.060553
104	4702.102623
105	4691.015582
106	4689.212499
107	4682.814766
108	4678.296809
109	4676.740969
110	4671.497957
111	4664.119412
112	4643.357754
113	4638.896982
114	4637.352783
115	4624.432087
116	4620.890481
117	4615.008921
118	4614.053698
119	4609.19907
120	4591.138883
121	4585.889322
122	4579.336897
123	4568.850837
124	4559.421126
125	4549.503616
126	4533.0311
127	4530.259881
128	4522.339882
129	4510.297457
130	4503.950304
131	4499.977647
132	4495.632398
133	4492.032766
134	4488.523087
135	4483.924522
136	4481.886466
137	4476.461224
138	4473.312922
139	4467.557133
140	4464.800222
141	4458.478102
142	4455.866625
143	4455.447279
144	4447.027868
145	4432.602624
146	4427.731027
147	4425.686927
148	4423.979495
149	4421.246763
150	4416.686874
151	4414.378409
152	4410.733161
153	4402.353199
154	4399.821198
155	4381.71136
156	4379.582913
157	4375.345904
158	4372.416663
159	4367.905867
160	4364.119481
161	4362.285707
162	4359.045269
163	4351.585525
164	4350.553403
165	4341.793791
166	4340.288301
167	4336.747671
168	4325.311018
169	4316.196623
170	4313.334826
171	4310.221215
172	4306.822945
173	4302.463952
174	4299.514033
175	4292.954574
176	4290.799708
177	4285.994399
178	4276.025987
179	4268.801657
180	4265.398879
181	4259.380719
182	4253.978625
183	4248.516657
184	4242.914391
185	4237.389556
186	4235.93834
187	4230.814386
188	4227.675147
189	4220.817614
190	4218.231363
191	4214.848916
192	4211.177276
193	4206.324429
194	4205.250624
195	4202.592245
196	4200.354053
197	4198.178597
198	4195.185112
199	4192.59469
200	4190.696349
201	4190.127732
202	4185.986393
203	4182.074468
204	4179.423964
205	4178.108239
206	4175.935887
207	4171.530793
208	4168.961744
209	4166.864864
210	4165.185512
211	4162.26122
212	4161.229741
213	4159.015386
214	4155.386233
215	4153.244743
216	4151.143575
217	4147.398527
218	4146.215922
219	4144.452408
220	4141.650418
221	4133.632602
222	4132.609147
223	4130.858518
224	4127.966752
225	4126.857573
226	4124.481313
227	4121.54872
228	4117.762251
229	4116.490948
230	4115.234347
231	4114.212164
232	4111.456428
233	4109.191565
234	4104.75702
235	4099.383231
236	4098.223801
237	4095.79773
238	4093.110699
239	4087.439196
240	4086.397459
241	4085.009247
242	4083.299122
243	4073.944989
244	4070.944026
245	4069.03272
246	4067.428823
