iter	Passed	Remaining
0	177	177003
1	317	158544
2	458	152378
3	578	144082
4	715	142351
5	851	141084
6	1009	143224
7	1211	150214
8	1366	150435
9	1505	149007
10	1634	146928
11	1754	144414
12	1879	142734
13	2015	141970
14	2158	141716
15	2290	140885
16	2481	143480
17	2762	150720
18	3052	157623
19	3366	164937
20	3653	170309
21	3938	175072
22	4216	179118
23	4517	183728
24	4812	187691
25	5096	190931
26	5359	193140
27	5650	196138
28	5923	198324
29	6169	199471
30	6295	196797
31	6406	193797
32	6530	191355
33	6643	188745
34	6773	186741
35	6880	184237
36	7003	182287
37	7121	180280
38	7250	178657
39	7379	177108
40	7497	175365
41	7612	173632
42	7735	172148
43	7874	171095
44	8003	169859
45	8115	168302
46	8230	166887
47	8354	165691
48	8470	164396
49	8588	163183
50	8716	162203
51	8837	161107
52	8967	160232
53	9086	159184
54	9204	158149
55	9315	157038
56	9436	156121
57	9548	155081
58	9661	154097
59	9784	153292
60	9900	152399
61	10033	151801
62	10164	151179
63	10284	150410
64	10400	149603
65	10523	148919
66	10641	148190
67	10754	147404
68	10882	146835
69	11002	146174
70	11132	145659
71	11257	145099
72	11368	144368
73	11495	143854
74	11616	143269
75	11741	142752
76	11858	142152
77	11984	141668
78	12110	141181
79	12247	140841
80	12368	140332
81	12494	139873
82	12626	139498
83	12750	139041
84	12877	138626
85	13010	138272
86	13130	137795
87	13266	137487
88	13391	137072
89	13528	136789
90	13648	136336
91	13775	135962
92	13887	135443
93	14006	134995
94	14139	134701
95	14325	134902
96	14461	134621
97	14595	134342
98	14725	134015
99	14848	133636
100	14967	133223
101	15074	132713
102	15200	132378
103	15327	132054
104	15438	131596
105	15580	131406
106	15726	131254
107	15857	130969
108	15980	130626
109	16111	130356
110	16228	129971
111	16352	129650
112	16481	129371
113	16605	129053
114	16745	128867
115	16876	128610
116	17000	128306
117	17119	127961
118	17252	127726
119	17370	127387
120	17497	127106
121	17620	126809
122	17743	126512
123	17886	126361
124	18013	126096
125	18126	125737
126	18247	125431
127	18365	125112
128	18464	124671
129	18583	124366
130	18702	124067
131	18821	123764
132	18941	123474
133	19069	123239
134	19201	123031
135	19320	122739
136	19428	122387
137	19563	122200
138	19689	121962
139	19821	121757
140	19951	121546
141	20094	121416
142	20232	121254
143	20356	121008
144	20474	120729
145	20598	120485
146	20730	120295
147	20848	120017
148	20926	119520
149	21062	119352
150	21191	119152
151	21297	118819
152	21410	118528
153	21540	118333
154	21666	118115
155	21796	117923
156	21877	117469
157	21994	117210
158	22131	117060
159	22251	116818
160	22398	116723
161	22520	116497
162	22640	116259
163	22761	116027
164	22880	115788
165	23001	115560
166	23134	115396
167	23255	115172
168	23390	115013
169	23528	114875
170	23649	114653
171	23762	114391
172	23877	114144
173	23978	113829
174	24092	113578
175	24216	113379
176	24336	113158
177	24458	112947
178	24578	112732
179	24711	112575
180	24832	112363
181	24960	112185
182	25102	112067
183	25230	111892
184	25401	111905
185	25536	111755
186	25658	111554
187	25792	111400
188	25914	111198
189	26037	111000
190	26169	110844
191	26290	110639
192	26411	110434
193	26532	110231
194	26658	110053
195	26779	109851
196	26910	109692
197	27038	109520
198	27157	109311
199	27269	109076
200	27382	108848
201	27506	108663
202	27637	108507
203	27758	108310
204	27896	108183
205	28028	108031
206	28164	107896
207	28299	107755
208	28415	107545
209	28541	107369
210	28674	107224
211	28799	107048
212	28923	106865
213	29052	106706
214	29190	106577
215	29315	106402
216	29431	106198
217	29554	106015
218	29647	105729
219	29771	105552
220	29889	105357
221	30008	105163
222	30135	105000
223	30271	104868
224	30397	104701
225	30513	104500
226	30635	104323
227	30746	104106
228	30866	103922
229	30991	103752
230	31115	103584
231	31245	103434
232	31372	103273
233	31489	103079
234	31619	102931
235	31737	102743
236	31825	102459
237	31954	102307
238	32082	102155
239	32210	102000
240	32338	101845
241	32482	101742
242	32600	101557
243	32729	101407
244	32857	101255
245	32973	101064
246	33100	100908
247	33212	100707
248	33329	100523
249	33462	100388
250	33605	100281
251	33728	100113
252	33844	99927
253	33972	99777
254	34097	99618
255	34225	99469
256	34357	99330
257	34488	99187
258	34608	99015
259	34746	98892
260	34873	98740
261	35009	98615
262	35144	98484
263	35264	98312
264	35443	98304
265	35564	98136
266	35692	97987
267	35816	97826
268	35948	97688
269	36088	97571
270	36216	97424
271	36351	97293
272	36474	97130
273	36601	96981
274	36719	96805
275	36833	96621
276	36979	96521
277	37104	96364
278	37242	96243
279	37371	96097
280	37505	95966
281	37625	95798
282	37749	95640
283	37869	95474
284	37999	95333
285	38141	95220
286	38270	95075
287	38402	94938
288	38532	94798
289	38662	94657
290	38777	94478
291	38911	94346
292	39033	94187
293	39160	94039
294	39291	93900
295	39416	93746
296	39540	93592
297	39670	93451
298	39792	93293
299	39921	93151
300	40056	93021
301	40179	92864
302	40311	92729
303	40444	92596
304	40567	92441
305	40684	92272
306	40801	92102
307	40919	91936
308	41051	91800
309	41169	91636
310	41295	91487
311	41420	91337
312	41552	91203
313	41681	91063
314	41809	90919
315	41935	90772
316	42063	90627
317	42195	90494
318	42315	90334
319	42448	90203
320	42583	90076
321	42724	89960
322	42862	89838
323	42983	89680
324	43104	89523
325	43223	89364
326	43337	89192
327	43466	89054
328	43586	88895
329	43715	88755
330	43843	88614
331	43977	88484
332	44114	88360
333	44245	88226
334	44372	88083
335	44485	87912
336	44610	87764
337	44731	87609
338	44854	87459
339	44981	87316
340	45111	87180
341	45233	87028
342	45350	86866
343	45480	86729
344	45609	86591
345	45737	86451
346	45867	86314
347	46005	86194
348	46138	86063
349	46267	85925
350	46388	85771
351	46520	85640
352	46659	85519
353	46787	85381
354	46922	85252
355	47062	85135
356	47194	85003
357	47313	84846
358	47449	84722
359	47592	84608
360	47724	84476
361	47842	84319
362	47975	84188
363	48099	84042
364	48299	84027
365	48420	83876
366	48531	83706
367	48656	83561
368	48776	83408
369	48896	83256
370	49020	83110
371	49133	82945
372	49254	82794
373	49390	82669
374	49516	82528
375	49635	82373
376	49751	82215
377	49877	82072
378	50010	81943
379	50116	81768
380	50240	81624
381	50357	81467
382	50506	81364
383	50637	81230
384	50762	81087
385	50890	80949
386	51016	80808
387	51143	80669
388	51274	80536
389	51412	80414
390	51548	80289
391	51683	80162
392	51809	80021
393	51938	79885
394	52064	79744
395	52192	79606
396	52318	79465
397	52445	79326
398	52600	79230
399	52733	79099
400	52877	78985
401	53007	78852
402	53138	78718
403	53262	78576
404	53381	78423
405	53503	78278
406	53633	78143
407	53751	77992
408	53899	77884
409	54027	77747
410	54166	77625
411	54281	77470
412	54413	77338
413	54544	77206
414	54663	77055
415	54788	76914
416	54915	76776
417	55057	76659
418	55176	76509
419	55311	76382
420	55435	76240
421	55567	76109
422	55696	75973
423	55819	75829
424	55955	75704
425	56089	75575
426	56221	75444
427	56351	75310
428	56480	75175
429	56611	75043
430	56747	74917
431	56862	74763
432	56992	74629
433	57111	74481
434	57240	74347
435	57368	74210
436	57493	74070
437	57597	73904
438	57724	73766
439	57840	73614
440	57959	73468
441	58086	73330
442	58274	73270
443	58411	73146
444	58538	73008
445	58658	72862
446	58780	72719
447	58897	72570
448	59025	72434
449	59146	72290
450	59263	72141
451	59386	71999
452	59514	71864
453	59625	71708
454	59758	71579
455	59883	71439
456	60007	71299
457	60093	71114
458	60213	70971
459	60324	70815
460	60448	70676
461	60575	70540
462	60714	70418
463	60846	70288
464	60980	70160
465	61101	70017
466	61235	69889
467	61361	69752
468	61479	69606
469	61601	69465
470	61729	69331
471	61868	69208
472	61994	69071
473	62121	68936
474	62240	68792
475	62369	68659
476	62497	68524
477	62623	68387
478	62729	68229
479	62835	68071
480	62974	67950
481	63084	67795
482	63199	67648
483	63315	67501
484	63448	67372
485	63591	67255
486	63706	67107
487	63838	66978
488	63958	66835
489	64091	66707
490	64214	66568
491	64340	66433
492	64468	66299
493	64587	66156
494	64719	66026
495	64846	65892
496	64970	65755
497	65095	65618
498	65219	65480
499	65338	65338
500	65461	65199
501	65584	65061
502	65695	64912
503	65805	64760
504	65927	64621
505	66046	64479
506	66178	64350
507	66315	64226
508	66444	64095
509	66578	63967
510	66695	63823
511	66827	63695
512	66949	63556
513	67068	63414
514	67204	63289
515	67340	63164
516	67464	63027
517	67590	62893
518	67706	62749
519	67835	62617
520	67965	62486
521	68089	62350
522	68209	62210
523	68327	62068
524	68443	61924
525	68568	61790
526	68691	61653
527	68807	61509
528	68950	61390
529	69078	61258
530	69203	61123
531	69327	60987
532	69456	60855
533	69599	60736
534	69713	60591
535	69838	60456
536	69949	60310
537	70086	60185
538	70209	60049
539	70345	59924
540	70516	59828
541	70655	59705
542	70793	59581
543	70923	59450
544	71033	59302
545	71153	59164
546	71277	59028
547	71380	58875
548	71503	58739
549	71632	58608
550	71759	58475
551	71902	58355
552	72025	58219
553	72152	58086
554	72286	57959
555	72418	57830
556	72543	57696
557	72668	57562
558	72790	57425
559	72915	57290
560	73055	57167
561	73184	57037
562	73317	56909
563	73446	56778
564	73582	56652
565	73711	56520
566	73837	56387
567	73963	56253
568	74110	56136
569	74247	56010
570	74376	55879
571	74500	55745
572	74636	55619
573	74785	55502
574	74914	55371
575	75031	55231
576	75155	55096
577	75299	54976
578	75432	54848
579	75564	54719
580	75691	54586
581	75803	54443
582	75930	54310
583	76047	54170
584	76172	54036
585	76298	53903
586	76429	53774
587	76562	53645
588	76691	53514
589	76817	53381
590	76944	53249
591	77062	53110
592	77189	52978
593	77316	52845
594	77457	52723
595	77570	52581
596	77694	52446
597	77809	52306
598	77928	52169
599	78056	52037
600	78175	51900
601	78298	51765
602	78409	51622
603	78526	51484
604	78658	51355
605	78778	51219
606	78889	51076
607	79007	50939
608	79131	50805
609	79256	50672
610	79377	50536
611	79569	50445
612	79685	50307
613	79814	50176
614	79936	50041
615	80068	49912
616	80189	49777
617	80318	49646
618	80439	49511
619	80555	49372
620	80680	49239
621	80829	49121
622	80973	48999
623	81102	48869
624	81231	48738
625	81352	48603
626	81473	48468
627	81595	48333
628	81726	48204
629	81858	48075
